corpus,ckpt,arm,seed,eval_sub,q,skew,setting,n,prior,eer,legacy_eer,auc,accuracy,balanced_accuracy,fpr,fnr,oracle_accuracy,threshold_gap,threshold,exact_one_pct,near_one_pct,largest_tie_pct,n_unique
df2021,deepfense_w2v2_aasist_s2,source,2,50000,0.3,0,disjoint_eval,30000,0.9720333333,4.722584006,4.697227946,0.9910651192,98.77666667,86.98438561,25.50655542,0.5246733651,98.97666667,0.2,0.5,0,0,9.73,828
df2021,deepfense_w2v2_aasist_s2,tent,0,0,0.3,0,available_pool,400435,0.9721902431,4.277132618,4.06152396,0.9764756823,98.51786183,73.51356683,52.96336207,0.00950426279,99.09248692,0.5746250952,0.5,93.02158902,98.07234632,93.02158902,1247
df2021,deepfense_w2v2_aasist_s2,tent,0,0,0.3,0,disjoint_eval,380435,0.9722659587,4.275309572,4.076470581,0.9762578725,98.51774942,73.43854431,53.11344896,0.009462426058,99.0960348,0.5782853838,0.5,93.04348969,98.08035538,93.04348969,1220
df2021,deepfense_w2v2_aasist_s42,eta,0,0,0.3,0,available_pool,400435,0.9721902431,42.83661003,37.4685704,0.625314296,97.21902431,50,100,0,97.91601633,0.6969920212,0.5,99.30300798,99.67360495,99.30300798,330
df2021,deepfense_w2v2_aasist_s42,eta,0,0,0.3,0,disjoint_eval,380435,0.9722659587,42.83469686,37.46564307,0.6253435693,97.22659587,50,100,0,97.92185262,0.6952567456,0.5,99.30474325,99.67353162,99.30474325,325
df2021,deepfense_w2v2_aasist_s42,ours_bbse,0,0,0.3,0,available_pool,400435,0.9721902431,3.299214577,3.290012663,0.9957848603,98.98185723,82.54499809,34.85991379,0.05009003362,99.20586362,0.224006393,0.5,0,0,18.59377927,1904
df2021,deepfense_w2v2_aasist_s42,ours_bbse,0,0,0.3,0,disjoint_eval,380435,0.9722659587,3.286186408,3.273372085,0.9958064729,98.98248058,82.47983128,34.99194389,0.04839355041,99.20985188,0.2273712986,0.5,0,0,18.60948651,1840
df2021,deepfense_w2v2_aasist_s42,ours_bbse,1,50000,0.3,0,available_pool,50000,0.9723,3.322830966,3.270027413,0.9955010394,98.93,81.49259024,36.96750903,0.04731050087,99.206,0.276,0.5,0,0,17.236,581
df2021,deepfense_w2v2_aasist_s42,ours_bbse,1,50000,0.3,0,disjoint_eval,30000,0.9719333333,3.607898017,3.633451558,0.9955549941,98.93333333,81.68963623,36.57957245,0.04115508608,99.25,0.3166666667,0.5,0,0,17.29333333,440
df2021,deepfense_w2v2_aasist_s42,ours_bbse,2,50000,0.3,0,available_pool,50000,0.9723,3.222771975,3.226934831,0.9959670304,98.988,82.99546537,33.93501805,0.07405121876,99.218,0.23,0.5,0,0,18.034,659
df2021,deepfense_w2v2_aasist_s42,ours_bbse,2,50000,0.3,0,disjoint_eval,30000,0.9720333333,3.277041471,3.288967963,0.9954228669,98.92,81.8489019,36.23361144,0.06858475361,99.15333333,0.2333333333,0.5,0,0,18.12666667,518
df2021,deepfense_w2v2_aasist_s42,ours_fixed,0,0,0.3,0,available_pool,400435,0.9721902431,4.098762425,4.080351711,0.992179052,61.7960468,80.35160635,0,39.2967873,98.68992471,36.89387791,0.5,0,0,0.2489792351,10418
df2021,deepfense_w2v2_aasist_s42,ours_fixed,0,0,0.3,0,disjoint_eval,380435,0.9722659587,4.093466402,4.078442769,0.9921747077,61.81397611,80.36235685,0,39.27528631,98.68755504,36.87357893,0.5,0,0,0.2483998581,10234
df2021,deepfense_w2v2_aasist_s42,ours_fixed,1,50000,0.3,0,available_pool,50000,0.9723,4.222820523,4.165032037,0.9921354962,62.162,80.54201378,0,38.91597244,98.714,36.552,0.5,0,0,0.272,4970
df2021,deepfense_w2v2_aasist_s42,ours_fixed,1,50000,0.3,0,disjoint_eval,30000,0.9719333333,4.334983235,4.271607927,0.9919707869,62.15333333,80.53021469,0,38.93957062,98.73333333,36.58,0.5,0,0,0.3066666667,4100
df2021,deepfense_w2v2_aasist_s42,ours_fixed,2,50000,0.3,0,available_pool,50000,0.9723,4.249482255,4.292056017,0.9920560983,61.602,80.25403682,0,39.49192636,98.736,37.134,0.5,0,0,0.27,5049
df2021,deepfense_w2v2_aasist_s42,ours_fixed,2,50000,0.3,0,disjoint_eval,30000,0.9720333333,4.648390942,4.614926241,0.9910391853,61.9,80.40190666,0,39.19618669,98.64666667,36.74666667,0.5,0,0,0.28,4127
df2021,deepfense_w2v2_aasist_s42,sar,0,0,0.3,0,available_pool,400435,0.9721902431,4.5608144,4.56025484,0.9918730774,98.77608101,78.3524352,43.27406609,0.02106350132,99.08299724,0.3069162286,0.5,0,0,10.1015146,2049
df2021,deepfense_w2v2_aasist_s42,sar,0,0,0.3,0,disjoint_eval,380435,0.9722659587,4.543869042,4.541832495,0.9919782019,98.77692641,78.29983929,43.37977443,0.0205469823,99.08368052,0.3067541104,0.5,0,0,10.10106851,1979
df2021,deepfense_w2v2_aasist_s42,shot,0,0,0.3,0,available_pool,400435,0.9721902431,6.602480566,6.226405839,0.9730825665,73.29828811,86.26723932,0,27.46552136,97.21902431,23.9207362,0.5,0,0,1.838750359,7452
df2021,deepfense_w2v2_aasist_s42,shot,0,0,0.3,0,disjoint_eval,380435,0.9722659587,6.602647212,6.259758142,0.9731176965,73.30582097,86.27218263,0,27.45563474,97.22659587,23.9207749,0.5,0,0,1.842101805,7331
df2021,deepfense_w2v2_aasist_s42,source,0,0,0.3,0,available_pool,400435,0.9721902431,4.5608144,4.56025484,0.9918730774,98.77608101,78.3524352,43.27406609,0.02106350132,99.08299724,0.3069162286,0.5,0,0,10.1015146,2049
df2021,deepfense_w2v2_aasist_s42,source,0,0,0.3,0,disjoint_eval,380435,0.9722659587,4.543869042,4.541832495,0.9919782019,98.77692641,78.29983929,43.37977443,0.0205469823,99.08368052,0.3067541104,0.5,0,0,10.10106851,1979
df2021,deepfense_w2v2_aasist_s42,source,1,50000,0.3,0,available_pool,50000,0.9723,4.492926132,4.49363989,0.9921837795,98.786,78.43736854,43.10469314,0.02056978299,99.11,0.324,0.5,0,0,10.106,644
df2021,deepfense_w2v2_aasist_s42,source,1,50000,0.3,0,disjoint_eval,30000,0.9719333333,4.641565562,4.639462058,0.9923186948,98.79333333,78.73423346,42.51781473,0.01371836203,99.12666667,0.3333333333,0.5,0,0,10.00333333,483
df2021,deepfense_w2v2_aasist_s42,source,2,50000,0.3,0,available_pool,50000,0.9723,4.492926132,4.49363989,0.9921837795,98.786,78.43736854,43.10469314,0.02056978299,99.11,0.324,0.5,0,0,10.106,644
df2021,deepfense_w2v2_aasist_s42,source,2,50000,0.3,0,disjoint_eval,30000,0.9720333333,4.593349942,4.604638528,0.9912779853,98.69333333,77.10189688,45.76877235,0.02743390144,99.07,0.3766666667,0.5,0,0,10.17666667,493
df2021,deepfense_w2v2_aasist_s42,tent,0,0,0.3,0,available_pool,400435,0.9721902431,11.91261814,11.1830535,0.9244837944,98.61400727,75.24219471,49.50610632,0.00950426279,99.02830672,0.4142994493,0.5,0,98.17348633,87.61571791,1354
df2021,deepfense_w2v2_aasist_s42,tent,0,0,0.3,0,disjoint_eval,380435,0.9722659587,11.88168029,11.1712723,0.9245859071,98.61763508,75.23471777,49.52137238,0.009192071028,99.02742913,0.4097940515,0.5,0,98.18286961,87.60681851,1310
itw,deepfense_w2v2_aasist_s240,ours_bbse,0,0,0.3,0,available_pool,31779,0.3718178671,8.475605698,8.476126628,0.9706936929,76.97536109,81.49226988,36.12683464,0.8886255924,91.87199094,14.89662985,0.5,0,0,0.8307372793,3703
itw,deepfense_w2v2_aasist_s240,ours_bbse,0,0,0.3,0,disjoint_eval,11779,0.3732914509,8.695966773,8.701234192,0.9698847648,77.66363868,82.01409245,35.15307505,0.81874005,91.71406741,14.05042873,0.5,0,0,0.7980303931,2393
itw,deepfense_w2v2_aasist_s240,ours_fixed,0,0,0.3,0,available_pool,31779,0.3718178671,8.331019161,8.333282814,0.9713255173,88.80078039,90.24845444,15.3984872,4.104603927,92.09540892,3.294628528,0.5,0,0,0.5915856383,3036
itw,deepfense_w2v2_aasist_s240,ours_fixed,0,0,0.3,0,disjoint_eval,11779,0.3732914509,8.522519701,8.524634139,0.9704668592,89.05679599,90.45083169,15.05012192,4.048214692,91.90933016,2.852534171,0.5,0,0,0.6791748026,1936
itw,deepfense_w2v2_aasist_s240,source,0,0,0.3,0,available_pool,31779,0.3718178671,8.466981297,8.466108094,0.9693704999,68.9228736,75.12781241,49.07579021,0.6685849695,91.82478996,22.90191636,0.5,0,0,0.3870480506,5127
itw,deepfense_w2v2_aasist_s240,source,0,0,0.3,0,disjoint_eval,11779,0.3732914509,8.71530647,8.717203739,0.9681096604,69.36072672,75.41746032,48.48279599,0.682283375,91.57823245,22.21750573,0.5,0,0,0.4754223618,3327
itw,deepfense_w2v2_aasist_s2,ours_bbse,0,0,0.3,0,available_pool,31779,0.3718178671,9.888288653,9.891606853,0.9649516827,87.13301237,88.76212229,17.59254621,4.883209208,90.89335725,3.760344882,0.5,0,0,1.293306901,2649
itw,deepfense_w2v2_aasist_s2,ours_bbse,0,0,0.3,0,disjoint_eval,11779,0.3732914509,9.905204793,9.904560429,0.9636031118,87.3503693,88.8870931,17.17691682,5.048896975,90.82265048,3.472281178,0.5,0,0,1.29892181,1789
itw,deepfense_w2v2_aasist_s2,ours_fixed,0,0,0.3,0,available_pool,31779,0.3718178671,9.708049582,9.706790501,0.9660061152,85.69180906,87.88094531,20.6582177,3.579891672,91.04440039,5.352591334,0.5,0,0,1.494697756,2783
itw,deepfense_w2v2_aasist_s2,ours_fixed,0,0,0.3,0,disjoint_eval,11779,0.3732914509,9.779395042,9.786744392,0.9645738391,85.71186009,87.82815979,20.52289352,3.8207869,90.90754733,5.19568724,0.5,0,0,1.587571101,1886
itw,deepfense_w2v2_aasist_s2,source,0,0,0.3,0,available_pool,31779,0.3718178671,9.643307719,9.643660211,0.9660458998,88.30359671,89.55569263,15.32835746,5.560257278,91.1136285,2.810031782,0.5,0,0,1.919506592,3017
itw,deepfense_w2v2_aasist_s2,source,0,0,0.3,0,disjoint_eval,11779,0.3732914509,9.72636142,9.730135452,0.9650206845,88.35215214,89.54379162,15.15849363,5.753923129,91.02640292,2.674250785,0.5,0,0,2.046014093,1947
itw,deepfense_w2v2_aasist_s42,ours_bbse,0,0,0.3,0,available_pool,31779,0.3718178671,14.54124513,14.50749666,0.9329362719,47.99395827,58.56447495,82.66793568,0.2031144211,88.05500488,40.0610466,0.5,0,0,2.215299412,2432
itw,deepfense_w2v2_aasist_s42,ours_bbse,0,0,0.3,0,disjoint_eval,11779,0.3732914509,14.06946814,14.06273193,0.9349428661,48.06859666,58.53135346,82.75535085,0.1819422333,88.19084812,40.12225146,0.5,0,0,2.207318108,1508
